ID:       	Date:          	Name:                                                                   	Entrants: 	Url:                                                                                         
76584     	2018-01-13     	Friday Night Turnip #84                                                 	51        	https://smash.gg/tournament/friday-night-turnip-84                                           
4170967   	2018-01-13     	Triton Melee Biweekly 6 - Singles - 01-13-2018                          	33        	http://sdmelee.challonge.com/TMBiweekly6singles                                              
4171786   	2018-01-14     	Los Levels #24                                                          	7         	http://challonge.com/dl9moh7j                                                                
4178052   	2018-01-15     	Last Stock SD 141 - Singles - 01-15-2018                                	47        	http://sdmelee.challonge.com/LSSD141singles                                                  
4177981   	2018-01-15     	Los Levels #25                                                          	18        	http://challonge.com/f2obb3bq                                                                
76825     	2018-01-16     	Training Mode Tuesdays #37                                              	60        	https://smash.gg/tournament/training-mode-tuesdays-37-1                                      
4188919   	2018-01-19     	The Cougar Clash 26 - Singles - 01-19-2018                              	9         	http://sdmelee.challonge.com/TCC26singles                                                    
76890     	2018-01-19     	USC Biweekly 32: Spring 2018 Opener                                     	16        	https://smash.gg/tournament/usc-biweekly-32-spring-2018-opener                               
4189054   	2018-01-20     	SB Brew Rebellion 1/2018                                                	18        	http://challonge.com/SBBR1_18                                                                
4189270   	2018-01-21     	Socal Retro Gaming Expo Melee                                           	67        	http://challonge.com/scrgemelee                                                              
4197859   	2018-01-22     	Last Stock SD 142 - Singles - 01-22-2018                                	30        	http://sdmelee.challonge.com/LSSD142Singles                                                  
4197674   	2018-01-22     	Los Levels #26                                                          	9         	http://challonge.com/cewb4qd7                                                                
78660     	2018-01-23     	Training Mode Tuesdays #38                                              	54        	https://smash.gg/tournament/training-mode-tuesdays-38                                        
4197710   	2018-01-23     	UCI Weekly 45                                                           	33        	http://challonge.com/UCIWeekly45                                                             
77757     	2018-01-24     	The Bird Cage                                                           	25        	https://smash.gg/tournament/the-bird-cage-1                                                  
4168655   	2018-01-25     	Smash Bout                                                              	20        	http://challonge.com/smashbout                                                               
79385     	2018-01-27     	Friday Night Turnip #85                                                 	42        	https://smash.gg/tournament/friday-night-turnip-85                                           
72056     	2018-01-27     	Noods Noods Noods: Melee Edition                                        	211       	https://smash.gg/tournament/noods-noods-noods-melee-edition                                  
4209417   	2018-01-27     	Lawton Smash Series III (Singles)                                       	6         	http://challonge.com/lawtonsmashseriesIII_singles                                            
4215903   	2018-01-28     	Triton Melee Biweekly 7- Singles - 01-28-2018                           	25        	http://sdmelee.challonge.com/TMBiweekly7singles                                              
